City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Mangaratiba,BR,87.8,clear sky,-22.96,-44.04,Portobello Resort & Safari
7,Atar,MR,70.09,overcast clouds,20.52,-13.05,Oumou Elghoura
8,Sinnamary,GF,83.46,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
9,Najran,SA,73.4,scattered clouds,17.49,44.13,محمد هادي ال فطيح
11,San Rafael,AR,86.52,clear sky,-34.62,-68.33,Hotel San Rafael
14,Rikitea,PF,76.55,light rain,-23.12,-134.97,Pension Maro'i
15,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
17,Risaralda,CO,77.0,scattered clouds,5.17,-75.77,Hotel el Mirador 3 Esquinas
28,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
29,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
31,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
33,Namibe,AO,72.93,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
38,Mar Del Plata,AR,80.6,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
40,Faanui,PF,80.67,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Chuy,UY,77.47,moderate rain,-33.7,-53.46,Nuevo Hotel Plaza
47,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Namatanai,PG,79.52,overcast clouds,-3.67,152.43,Namatanai Hotel
50,Atuona,PF,78.84,clear sky,-9.8,-139.03,Villa Enata
52,Manggar,ID,78.21,light rain,-2.88,108.27,Guest Hotel
54,Hilo,US,73.99,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
59,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
73,Sao Francisco,BR,82.24,overcast clouds,-15.95,-44.86,Pousada Peixe Vivo
74,Cap Malheureux,MU,73.99,light rain,-19.98,57.61,Pereybere Hotel & Spa
75,Vieux-Habitants,GP,86.0,broken clouds,16.06,-61.77,Gîtes Dardanelle
76,Kahului,US,73.4,light rain,20.89,-156.47,Maui Seaside Hotel
89,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
94,Bandarbeyla,SO,76.53,clear sky,9.49,50.81,JABIR HOTEL
98,Antalaha,MG,73.15,clear sky,-14.9,50.28,Hotel Vitasoa
100,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
101,Lorengau,PG,82.33,light rain,-2.02,147.27,Lorengau Harbourside Hotel
104,Butaritari,KI,81.72,light rain,3.07,172.79,Isles Sunset Lodge
109,Ulladulla,AU,80.6,overcast clouds,-35.35,150.47,Sandpiper Motel
110,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
112,Lazaro Cardenas,MX,85.24,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
115,Vao,NC,72.19,clear sky,-22.67,167.48,Hotel Kou-Bugny
122,Belmonte,BR,87.8,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
123,Gua Musang,MY,72.41,overcast clouds,4.88,101.96,Mines Inn Hotel
126,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
129,Castro,BR,75.51,broken clouds,-24.79,-50.01,CHACARA BAILLY
134,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
137,Phan Thiet,VN,74.91,light rain,10.93,108.1,Hotel Saigon-PT
140,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
