City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.59,26.89,65.34,84,23,12.86,light rain
1,Albany,US,42.6,-73.97,48.99,65,56,1.99,broken clouds
2,Steamboat Springs,US,40.48,-106.83,30.2,54,1,3.47,clear sky
3,Busselton,AU,-33.65,115.33,48.99,94,100,7.2,overcast clouds
4,Mokokchung,IN,26.33,94.53,51.06,81,0,2.91,clear sky
5,Mangaratiba,BR,-22.96,-44.04,87.8,52,0,11.41,clear sky
6,Kapaa,US,22.08,-159.32,69.8,73,75,4.7,broken clouds
7,Atar,MR,20.52,-13.05,70.09,33,100,8.59,overcast clouds
8,Sinnamary,GF,5.38,-52.95,83.46,72,99,9.46,heavy intensity rain
9,Najran,SA,17.49,44.13,73.4,35,40,1.54,scattered clouds
10,Qaanaaq,GL,77.48,-69.36,1.78,85,100,6.78,overcast clouds
11,San Rafael,AR,-34.62,-68.33,86.52,24,0,9.31,clear sky
12,Punta Arenas,CL,-53.15,-70.92,48.2,57,75,25.28,broken clouds
13,Kosice,SK,48.67,21.33,32.0,100,75,4.7,broken clouds
14,Rikitea,PF,-23.12,-134.97,76.55,81,100,13.98,light rain
15,Souillac,MU,-20.52,57.52,75.2,73,40,6.93,scattered clouds
16,Krasnoselkup,RU,65.7,82.47,-5.3,91,4,8.46,clear sky
17,Risaralda,CO,5.17,-75.77,77.0,69,40,2.24,scattered clouds
18,East London,ZA,-33.02,27.91,66.2,93,75,17.22,broken clouds
19,Evensk,RU,61.95,159.23,8.19,86,16,13.58,few clouds
20,Muroto,JP,33.28,134.15,54.63,62,54,4.76,broken clouds
21,Kazachinskoye,RU,57.7,93.28,5.76,92,0,1.68,clear sky
22,Mombris,DE,50.07,9.17,35.01,91,93,1.01,overcast clouds
23,Lebu,CL,-37.62,-73.65,59.88,83,100,8.43,overcast clouds
24,Vetluzhskiy,RU,58.39,45.47,21.13,97,100,9.6,overcast clouds
25,Mataura,NZ,-46.19,168.86,54.0,76,70,13.0,broken clouds
26,Torbay,CA,47.67,-52.73,57.2,93,75,13.87,broken clouds
27,Grindavik,IS,63.84,-22.43,33.8,100,90,13.87,sleet
28,Georgetown,MY,5.41,100.34,77.0,94,20,4.7,few clouds
29,Saint-Georges,GD,12.06,-61.75,86.0,74,20,18.34,few clouds
30,Bahir Dar,ET,11.59,37.39,68.59,56,97,6.2,overcast clouds
31,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,21.92,broken clouds
32,Jutai,BR,-5.18,-68.9,85.17,73,83,3.47,moderate rain
33,Namibe,AO,-15.2,12.15,72.93,75,97,7.4,overcast clouds
34,Chachapoyas,PE,-6.23,-77.87,63.81,66,97,5.91,light rain
35,Muros,ES,42.78,-9.06,54.0,66,20,8.05,light rain
36,Saint Anthony,US,45.02,-93.22,48.99,42,1,10.29,clear sky
37,Bredasdorp,ZA,-34.53,20.04,62.6,67,0,5.82,clear sky
38,Mar Del Plata,AR,-38.0,-57.56,80.6,65,90,11.41,overcast clouds
